Sales ID,Order Date,Product ID,Customer ID,Store ID,Quantity,Sales Amount,Discount,Net Sales,Cost,Profit,Payment Mode
SAL0000073,1/1/2022,PROD00061,CUST00725,STR011,1,2578.18,644.55,1933.64,1740.27,193.3635,Wallet
SAL0000293,1/1/2022,PROD00151,CUST00550,STR004,6,73304.58,8063.5,65241.08,49583.22,15657.85829,Cash
SAL0004073,1/1/2022,PROD00105,CUST00553,STR010,4,81314.8,17076.11,64238.69,52033.34,12205.35148,Card
SAL0007429,1/1/2022,PROD00057,CUST00462,STR005,5,263605.8,34268.75,229337.05,181176.27,48160.77966,UPI
SAL0007812,1/1/2022,PROD00035,CUST00634,STR037,3,219299.16,26315.9,192983.26,179474.43,13508.82826,Card
SAL0008000,1/1/2022,PROD00075,CUST00825,STR022,4,440.32,70.45,369.87,303.29,66.576384,Wallet
SAL0001879,1/2/2022,PROD00019,CUST01908,STR009,2,3501.62,595.28,2906.34,1889.12,1017.22061,Wallet
SAL0002418,1/2/2022,PROD00164,CUST02881,STR035,5,26147.85,3922.18,22225.67,19558.59,2667.0807,Cash
SAL0003372,1/2/2022,PROD00071,CUST01534,STR032,3,36086.4,5773.82,30312.58,25159.44,5153.13792,UPI
SAL0004980,1/2/2022,PROD00155,CUST02860,STR002,3,12833.1,2053.3,10779.8,9809.62,970.18236,Card
SAL0007400,1/2/2022,PROD00058,CUST02092,STR014,6,339313.98,44110.82,295203.16,203690.18,91512.98041,Wallet
SAL0008637,1/2/2022,PROD00161,CUST02148,STR028,10,112398.2,14611.77,97786.43,65516.91,32269.52322,Cash
SAL0001016,1/3/2022,PROD00018,CUST02476,STR029,2,823.18,181.1,642.08,494.4,147.678492,UPI
SAL0008575,1/3/2022,PROD00124,CUST02549,STR019,2,17504.96,2450.69,15054.27,13097.21,1957.054528,UPI
SAL0003489,1/4/2022,PROD00076,CUST00662,STR039,9,12346.92,1728.57,10618.35,7432.85,3185.50536,Wallet
SAL0003512,1/4/2022,PROD00022,CUST01869,STR013,5,198686.8,37750.49,160936.31,128749.05,32187.2616,UPI
SAL0003672,1/4/2022,PROD00110,CUST00088,STR001,5,51335.4,7186.96,44148.44,31786.88,12361.56432,UPI
SAL0004928,1/4/2022,PROD00131,CUST02715,STR038,3,7736.49,1702.03,6034.46,4043.09,1991.372526,Wallet
SAL0005371,1/4/2022,PROD00008,CUST00517,STR039,10,14034.7,982.43,13052.27,11224.95,1827.31794,Cash
SAL0006054,1/4/2022,PROD00110,CUST02680,STR023,3,30801.24,7392.3,23408.94,17322.62,6086.325024,Card
SAL0007838,1/4/2022,PROD00034,CUST00858,STR010,4,382934.96,68928.29,314006.67,219804.67,94202.00016,Cash
SAL0003748,1/5/2022,PROD00097,CUST00505,STR021,10,14155.8,1132.46,13023.34,10158.2,2865.13392,Card
SAL0005519,1/5/2022,PROD00144,CUST00317,STR046,4,546.28,136.57,409.71,372.84,36.8739,UPI
SAL0009041,1/5/2022,PROD00165,CUST01272,STR013,7,96370.61,8673.35,87697.26,70157.8,17539.45102,Card
SAL0009160,1/5/2022,PROD00030,CUST00519,STR003,10,124483.8,21162.25,103321.55,85756.89,17564.66418,UPI
SAL0003132,1/6/2022,PROD00149,CUST01035,STR018,4,71980.12,13676.22,58303.9,51307.43,6996.467664,Cash
SAL0005128,1/6/2022,PROD00139,CUST00423,STR038,4,10925.96,1748.15,9177.81,8443.58,734.224512,Card
SAL0005888,1/6/2022,PROD00153,CUST00763,STR017,3,22585.02,3161.9,19423.12,15538.49,3884.62344,UPI
SAL0006771,1/6/2022,PROD00101,CUST02707,STR019,10,142446.7,32762.74,109683.96,81166.13,28517.82934,UPI
SAL0001810,1/7/2022,PROD00053,CUST02462,STR026,8,282123.12,36676.01,245447.11,171812.98,73634.13432,Card
SAL0004647,1/7/2022,PROD00165,CUST01561,STR033,2,27534.46,2202.76,25331.7,20265.36,5066.34064,Wallet
SAL0004782,1/7/2022,PROD00097,CUST00293,STR007,4,5662.32,1189.09,4473.23,3936.44,536.787936,Card
SAL0005752,1/7/2022,PROD00040,CUST01348,STR040,1,6186.08,989.77,5196.31,3481.53,1714.781376,Cash
SAL0009958,1/7/2022,PROD00167,CUST02572,STR035,2,6131.36,551.82,5579.54,4184.65,1394.8844,UPI
SAL0004596,1/8/2022,PROD00035,CUST01771,STR013,1,73099.72,10964.96,62134.76,47843.77,14290.99526,Cash
SAL0006108,1/8/2022,PROD00158,CUST02400,STR014,1,18267.17,1644.05,16623.12,14794.58,1828.543717,UPI
SAL0009374,1/8/2022,PROD00049,CUST00261,STR040,9,137516.76,11001.34,126515.42,83500.18,43015.24253,UPI
SAL0003187,1/9/2022,PROD00138,CUST02393,STR018,4,45320.8,5891.7,39429.1,34303.31,5125.78248,UPI
SAL0004351,1/9/2022,PROD00033,CUST00186,STR002,6,481095.18,48109.52,432985.66,342058.67,90926.98902,UPI
SAL0004691,1/9/2022,PROD00032,CUST00007,STR046,5,214539.3,49344.04,165195.26,153631.59,11563.66827,UPI
SAL0005640,1/9/2022,PROD00155,CUST00022,STR002,6,25666.2,5133.24,20532.96,13962.41,6570.5472,Card
SAL0006029,1/9/2022,PROD00130,CUST00599,STR039,3,27143.1,5971.48,21171.62,18631.02,2540.59416,UPI
SAL0007571,1/9/2022,PROD00095,CUST02678,STR039,10,14338.6,2867.72,11470.88,8029.62,3441.264,Cash
SAL0008199,1/9/2022,PROD00115,CUST01751,STR046,9,149555.52,19442.22,130113.3,100187.24,29926.05955,UPI
SAL0008312,1/10/2022,PROD00056,CUST00331,STR039,8,98319.12,15731.06,82588.06,56159.88,26428.17946,Card
SAL0009503,1/10/2022,PROD00025,CUST00305,STR026,7,513057.44,112872.64,400184.8,276127.51,124057.289,Card
SAL0003288,1/11/2022,PROD00049,CUST02062,STR036,4,61118.56,9167.78,51950.78,34807.02,17143.75608,Card
SAL0006201,1/11/2022,PROD00130,CUST00372,STR029,5,45238.5,10404.86,34833.65,31698.62,3135.02805,Wallet
SAL0006267,1/11/2022,PROD00023,CUST00898,STR042,1,96975.31,23274.07,73701.24,47905.8,25795.43246,UPI
SAL0009208,1/11/2022,PROD00113,CUST02381,STR011,9,18569.88,3528.28,15041.6,10980.37,4061.232756,Card
SAL0001742,1/12/2022,PROD00126,CUST01716,STR026,1,5271.52,896.16,4375.36,4112.84,262.521696,Card
