Store ID,Store Name,City,State,Region,Store Type
STR001,Udaipur Supermarket 1,Udaipur,Rajasthan,North,Supermarket
STR002,Thane Mini Store 2,Thane,Maharashtra,West,Mini Store
STR003,New Delhi Supermarket 3,New Delhi,Delhi,North,Supermarket
STR004,New Delhi Mini Store 4,New Delhi,Delhi,North,Mini Store
STR005,Bengaluru Supermarket 5,Bengaluru,Karnataka,South,Supermarket
STR006,Udaipur Hypermarket 6,Udaipur,Rajasthan,North,Hypermarket
STR007,Kolkata Mini Store 7,Kolkata,West Bengal,East,Mini Store
STR008,Kolkata Supermarket 8,Kolkata,West Bengal,East,Supermarket
STR009,Kolkata Mini Store 9,Kolkata,West Bengal,East,Mini Store
STR010,Ahmedabad Mini Store 10,Ahmedabad,Gujarat,West,Mini Store
STR011,New Delhi Supermarket 11,New Delhi,Delhi,North,Supermarket
STR012,Jaipur Supermarket 12,Jaipur,Rajasthan,North,Supermarket
STR013,New Delhi Supermarket 13,New Delhi,Delhi,North,Supermarket
STR014,Coimbatore Mini Store 14,Coimbatore,Tamil Nadu,South,Mini Store
STR015,Mysuru Mini Store 15,Mysuru,Karnataka,South,Mini Store
STR016,Bengaluru Supermarket 16,Bengaluru,Karnataka,South,Supermarket
STR017,Jaipur Hypermarket 17,Jaipur,Rajasthan,North,Hypermarket
STR018,Surat Mini Store 18,Surat,Gujarat,West,Mini Store
STR019,Kolkata Mini Store 19,Kolkata,West Bengal,East,Mini Store
STR020,Coimbatore Supermarket 20,Coimbatore,Tamil Nadu,South,Supermarket
STR021,New Delhi Supermarket 21,New Delhi,Delhi,North,Supermarket
STR022,Mumbai Supermarket 22,Mumbai,Maharashtra,West,Supermarket
STR023,Kolkata Mini Store 23,Kolkata,West Bengal,East,Mini Store
STR024,Surat Supermarket 24,Surat,Gujarat,West,Supermarket
STR025,Coimbatore Mini Store 25,Coimbatore,Tamil Nadu,South,Mini Store
STR026,Jaipur Supermarket 26,Jaipur,Rajasthan,North,Supermarket
STR027,Udaipur Supermarket 27,Udaipur,Rajasthan,North,Supermarket
STR028,Chennai Supermarket 28,Chennai,Tamil Nadu,South,Supermarket
STR029,Jaipur Mini Store 29,Jaipur,Rajasthan,North,Mini Store
STR030,Udaipur Supermarket 30,Udaipur,Rajasthan,North,Supermarket
STR031,Ahmedabad Hypermarket 31,Ahmedabad,Gujarat,West,Hypermarket
STR032,Surat Supermarket 32,Surat,Gujarat,West,Supermarket
STR033,Nagpur Supermarket 33,Nagpur,Maharashtra,West,Supermarket
STR034,Pune Mini Store 34,Pune,Maharashtra,West,Mini Store
STR035,Bengaluru Supermarket 35,Bengaluru,Karnataka,South,Supermarket
STR036,Nashik Hypermarket 36,Nashik,Maharashtra,West,Hypermarket
STR037,Pune Supermarket 37,Pune,Maharashtra,West,Supermarket
STR038,Lucknow Mini Store 38,Lucknow,Uttar Pradesh,North,Mini Store
STR039,Mysuru Mini Store 39,Mysuru,Karnataka,South,Mini Store
STR040,Udaipur Supermarket 40,Udaipur,Rajasthan,North,Supermarket
STR041,Kolkata Hypermarket 41,Kolkata,West Bengal,East,Hypermarket
STR042,Chennai Supermarket 42,Chennai,Tamil Nadu,South,Supermarket
STR043,Udaipur Supermarket 43,Udaipur,Rajasthan,North,Supermarket
STR044,Noida Supermarket 44,Noida,Uttar Pradesh,North,Supermarket
STR045,Surat Hypermarket 45,Surat,Gujarat,West,Hypermarket
STR046,Kolkata Hypermarket 46,Kolkata,West Bengal,East,Hypermarket
STR047,Bengaluru Hypermarket 47,Bengaluru,Karnataka,South,Hypermarket
STR048,Ahmedabad Mini Store 48,Ahmedabad,Gujarat,West,Mini Store
STR049,Bengaluru Hypermarket 49,Bengaluru,Karnataka,South,Hypermarket
STR050,Jaipur Mini Store 50,Jaipur,Rajasthan,North,Mini Store
